a52dec 0.7.4-9
python2-pexpect 4.2.1-1
python2-pip 8.1.2-1
python2-ptyprocess 0.5.1-1
python2-pyparsing 2.1.10-1
python2-setuptools 1:28.8.0-1
python2-six 1.10.0-2
pywebkitgtk 1.1.8-3
qpdfview 0.4.16-4
qrencode 3.4.4-1
qt4 4.8.7-11
qt5-base 5.7.0-7
qt5-styleplugins 5.0.0-1
qt5-svg 5.7.0-1
qt5-tools 5.7.0-2
qt5ct 0.27-1
randrproto 1.5.0-1
raptor 2.0.15-5
rasqal 1:0.9.33-1
re2 20160901-1
readline 7.0-1
recode 3.6-9
recordproto 1.14.2-2
redland 1:1.0.17-3
refind-efi 0.10.4-2
reiserfsprogs 3.6.25-1
renderproto 0.11.1-3
rest 0.8.0-1
rfkill 0.5-1
rp-pppoe 3.12-1
rpcbind 0.2.4-1
rsync 3.1.2-2
rtkit 0.11+6+g417bb7d-1
rtmpdump 1:2.4.r96.fa8646d-2
rubberband 1.8.1-3
ruby 2.3.3-2
ruby-maruku 0.7.2-1
ruby-sass 3.4.21-1
ruby-yard 0.8.7.6-1
run-parts 4.8.1-1
s-nail 14.8.14-1
sbc 1.3-1
schroedinger 1.0.11-3
screenfetch 3.7.0.r252.g5f15e57-1
scrnsaverproto 1.2.2-2
sdl 1.2.15-7
sdl2 2.0.5-2
sdl_image 1.2.12-3
sdparm 1.10-1
sed 4.2.2-4
shadow 4.4-3
shared-mime-info 1.7-1
skype 4.3.0.37-7
slang 2.3.0-1
smartmontools 6.5-1
smbclient 4.5.1-2
snappy 1.1.3-2
sound-theme-freedesktop 0.8-2
speech-dispatcher 0.8.5-2
speex 1.2rc2-1
speexdsp 1.2rc3-2
spotify 1.0.37.152-1
sqlite 3.15.2-1
squashfs-tools 4.3-4
startup-notification 0.12-4
sudo 1.8.18.p1-1
sysfsutils 2.1.0-9
syslinux 6.03-6
systemd 232-4
systemd-sysvcompat 232-4
taglib 1.11.1-1
talloc 2.1.8-1
tar 1.29-2
tcl 8.6.6-1
tdb 1.3.11-1
telepathy-glib 0.24.1-1
terminus-font 4.40-2
testdisk 7.0-3
tevent 1:0.9.31-1
texinfo 6.3-1
the_silver_searcher 1.0.1-1
thin-provisioning-tools 0.6.3-1
thunar 1.6.10-3.1
tlp 0.9-2
tmux 2.3-1
tslib 1.2-1
ttf-bitstream-vera 1.10-10
ttf-dejavu 2.37-1
ttf-droid 20121017-4
ttf-inconsolata 20151221.480630d-1
ttf-indic-otf 0.2-8
ttf-liberation 2.00.1-6
ttf-symbola 9.00-1
tzdata 2016j-1
udisks2 2.1.7-1
unarj 2.63a-4
unrar 1:5.4.5-1
unzip 6.0-12
upower 0.99.4+12+g402640b-1
usb_modeswitch 2.4.0-2
usbutils 008-1
util-linux 2.28.2-2
v4l-utils 1.10.1-1
v86d 0.1.10-5
vamp-plugin-sdk 2.6-1
vcsh 1.20151229.1-1
vertex-maia-icon-theme 20160809-1
vertex-maia-themes 20161127-1
vi 1:070224-2
vid.stab 1.1-1
videoproto 2.3.3-1
vim 8.0.0086-1
vim-runtime 8.0.0086-1
vk-cli 0.7.4-2
vlc 2.2.4-5
vte 0.28.2-8
vte-common 0.46.1-1
vte3 0.46.1-1
wayland 1.12.0-1
wayland-protocols 1.7-1
webkitgtk 2.4.11-3
webkitgtk2 2.4.11-3
webrtc-audio-processing 0.3-1
wget 1.18-1
which 2.21-2
wireless-regdb 2016.06.10-1
wireless_tools 30.pre9-1
wpa_supplicant 1:2.6-2
x265 2.1-2
xapian-core 1:1.2.24-1
xcb-proto 1.12-2
xcb-util 0.4.0-1
xcb-util-image 0.4.0-1
xcb-util-keysyms 0.4.0-1
xcb-util-wm 0.4.1-1
xcursor-maia 20160417-1
xcursor-simpleandsoft 0.2-7
xcursor-vanilla-dmz-aa 0.4.4-1
xdg-su 1.2.3-1
xdg-user-dirs 0.15-4
xdg-utils 1.1.1-4
xextproto 7.3.0-1
xf86-input-acecad 1.5.0-9
xf86-input-elographics 1.4.1-6
xf86-input-evdev 2.10.4-1
xf86-input-joystick 1.6.2-6
xf86-input-keyboard 1.9.0-1
xf86-input-mouse 1.9.2-1
xf86-input-synaptics 1.8.99.1-1
xf86-input-void 1.4.1-2
xf86-input-wacom 0.33.0-1
xf86-video-intel 1:2.99.917+740+g9ac7a33-1
xf86dgaproto 2.1-3
xf86miscproto 0.9.3-1
xf86vidmodeproto 2.3.1-3
xfce4-appfinder 4.12.0-4
xfce4-battery-plugin 1.1.0-1
xfce4-clipman-plugin 1.4.1-1
xfce4-notifyd 0.3.4-1
xfce4-panel 4.12.1-1
xfce4-power-manager 1.6.0.41.g9daecb5-1
xfce4-screenshooter 1.8.2-3
xfce4-session 4.12.1-4.1
xfce4-settings 4.12.1-1
xfce4-taskmanager 1.1.0-1
xfce4-terminal 0.8.1-1
xfce4-whiskermenu-plugin 1.6.1-1
xfce4-xkb-plugin 0.7.1-2
xfconf 4.12.1-1
xfdesktop 4.12.3-3
xflux 20130901-5
xflux-gui-git 0b56204-1
xfsprogs 4.8.0-1
xfwm4 4.12.3-2
xineramaproto 1.2.1-3
xkeyboard-config 2.19-1
xorg-bdftopcf 1.0.5-1
xorg-font-util 1.3.1-1
xorg-font-utils 7.6-4
xorg-fonts-alias 1.0.3-1
xorg-fonts-encodings 1.0.4-4
xorg-fonts-misc 1.0.3-4
xorg-iceauth 1.0.7-1
xorg-mkfontdir 1.0.7-2
xorg-mkfontscale 1.1.2-1
xorg-server 1.18.4-1
xorg-server-common 1.18.4-1
xorg-server-utils 7.6-4
xorg-sessreg 1.1.0-1
xorg-setxkbmap 1.3.1-1
xorg-twm 1.0.9-1
xorg-utils 7.6-9
xorg-xauth 1.0.9-1
xorg-xbacklight 1.2.1-1
xorg-xcmsdb 1.0.5-1
xorg-xdpyinfo 1.3.2-1
xorg-xdriinfo 1.0.5-1
xorg-xev 1.2.2-1
xorg-xgamma 1.0.6-1
xorg-xhost 1.0.7-1
xorg-xinit 1.3.4-4
xorg-xinput 1.6.2-1
xorg-xkbcomp 1.3.1-1
xorg-xkill 1.0.4-1
xorg-xlsatoms 1.1.2-1
xorg-xlsclients 1.1.3-1
xorg-xmodmap 1.0.9-1
xorg-xprop 1.2.2-1
xorg-xrandr 1.5.0-1
xorg-xrdb 1.1.0-2
xorg-xrefresh 1.0.5-1
xorg-xset 1.2.3-1
xorg-xsetroot 1.1.1-2
xorg-xvinfo 1.1.3-1
xorg-xwininfo 1.1.3-1
xproto 7.0.31-1
xvidcore 1.3.4-1
xz 5.2.2-2
yajl 2.1.0-1
yaourt 1.8.1-1
zd1211-firmware 1.5-1
zeitgeist 0.9.16-1
zeromq 4.1.5-1
zip 3.0-7
zita-alsa-pcmi 0.2.0-3
zita-resampler 1.3.0-5
zlib 1:1.2.8-7
zvbi 0.2.35-1
